EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
107225,1707559,REGULAR,THORNTONS #93,,1501 DIXIE HWY,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",10/10/22 0:00,96,A,THORNTONS #93,,6475
107225,1707561,REGULAR,THORNTONS #93,,1501 DIXIE HWY,,LOUISVILLE,KY,40210,"RETAIL-FOOD  10,000 SQ FT OR LESS",10/10/22 0:00,96,,THORNTONS #93,,6476
107229,1701890,REGULAR,OASIS GROCERY MARKET,,1036 S 4TH ST,,LOUISVILLE,KY,40203,PRE-PACKAGED RETAIL,9/15/22 0:00,92,,OASIS GROCERY MARKET,,6479
107229,1706938,COMPLAINT,OASIS GROCERY MARKET,,1036 S 4TH ST,,LOUISVILLE,KY,40203,PRE-PACKAGED RETAIL,9/15/22 0:00,0,,OASIS GROCERY MARKET,,6480
107234,1670089,REGULAR,ARBY'S #1982,,11488 PRESTON HWY,,LOUISVILLE,KY,40229,FOOD SERVICE,5/5/22 0:00,97,A,ARBY'S #1982,,6481
106845,1684017,REGULAR,TACO 'N MADRES,,,,LOUISVILLE,KY,40202,SELF-CONTAINED MOBILE FOOD UNITS,7/1/22 0:00,99,A,TACO 'N MADRES,,6484
107442,1667550,REGULAR,RAMSEY FOOD SERVICE #1,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,93,,RAMSEY FOOD SERVICE #1,,6485
107240,1694297,REGULAR,THORNTONS #160,,9200 PRESTON HWY,,LOUISVILLE,KY,40229,"RETAIL-FOOD  10,000 SQ FT OR LESS",8/15/22 0:00,99,,THORNTONS #160,,6487
107108,1700688,REGULAR,GOLDEN WASH LAUNDROMAT,,5051 POPLAR LEVEL RD,,LOUISVILLE,KY,40219,FOOD SERVICE,9/12/22 0:00,97,A,GOLDEN WASH LAUNDROMAT,,6488
106853,1677215,REGULAR,DAVE AND BUSTERS,,5000 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,6/6/22 0:00,98,A,DAVE AND BUSTERS,,6489
106418,1668913,REGULAR,GASLIGHT DINER,,10509 WATTERSON TRAIL,,LOUISVILLE,KY,40299,FOOD SERVICE,4/29/22 0:00,98,A,GASLIGHT DINER,,6490
107442,1670804,REGULAR,RAMSEY FOOD SERVICE #1,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/29/22 0:00,100,,RAMSEY FOOD SERVICE #1,,6491
106418,1705004,REGULAR,GASLIGHT DINER,,10509 WATTERSON TRAIL,,LOUISVILLE,KY,40299,FOOD SERVICE,9/29/22 0:00,100,A,GASLIGHT DINER,,6495
107117,1673731,REGULAR,TIKIZ,,,,LOUISVILLE,KY,40202,MOBILE RESTRICTED CONCESSION,5/21/22 0:00,98,,TIKIZ,,6499
107443,1670837,REGULAR,RAMSEY FOOD SERVICE #2,,,,LOUISVILLE,KY,40202,TEMPORARY FOODS,4/23/22 0:00,99,,RAMSEY FOOD SERVICE #2,,6500
107353,1689135,REGULAR,PHO PHI,,4600 SHELBYVILLE RD,,LOUISVILLE,KY,40207,FOOD SERVICE,7/25/22 0:00,97,A,PHO PHI,,6501
